prompt,continuation
Ethel Waters was an American singer and ,"1930s Hollywood actress. She was the first African-American woman to be nominated for an Academy Award. She was also the first African-American to star in a television show, The Ethel Waters Show, in 1953. Waters was born in Chester, Pennsylvania, on October 31, 1896. She was the daughter of Louise Anderson, a former slave, and Sandford Waters, a laborer. Waters was raised in a poor"
"Sarah Chalke is a Canadian actress, model ", and voice artist. She is best known for her role as Dr. Elliot Reid on the NBC / ABC comedy series Scrubs and as Becky Conner on the ABC sitcom Roseanne. She also starred as Stella Zinman in the CBS sitcom How I Met Your Mother and as Beth Smith in the Adult Swim animated series Rick and Morty. She also voiced the character of Mel in the animated film The Secret Life of Pets and its
Margot Rose is an American television and ," film actress. She is best known for her role as the title character in the 1987 film,  The All-American Girl. She has also appeared in the films  The Last Starfighter  and  The Wraith. She has also appeared in the television series  The Love Boat,  The Fall Guy,  The A-Team,  The Colbys,  Falcon Crest,  The Young and the Restless,"
Jacqueline Gadsden was an American film actress ," who appeared in the 1930s and 1940s. She was born in 1910 in New York City, New York, USA. She died in 1998 in Los Angeles, California, USA. She was married to actor  John Litel  from 1935 until his death in 1972. She was the mother of actress  Jacqueline Scott."
"Sadie Calvano is an American actress, known ", for her role as Violet in the CBS sitcom Mom. She has also appeared in the films The Last Song and The Secret Life of the American Teenager. She is also known for her role as Violet in the CBS sitcom Mom. She has also appeared in the films The Last Song and The Secret Life of the American Teenager. She is also known for her role as Violet in the CBS sitcom Mom. She has also appeared in
Cherry Jones – Downstage Center interview at ,"2005 Tony Awards
2005 Tony Awards
2005 Tony Awards
2005 Tony Awards
2005 Tony Awards
2005 Tony Awards
Cherry Jones – Downstage Center interview at"
"Jeannie Berlin is an American film, television "," and stage actress. She is best known for her role as Lenny Bruce’s wife Honey Bruce in the 1971 film Lenny, for which she was nominated for an Academy Award for Best Supporting Actress. She is also known for her role as the mother of the title character in the 1978 film An Unmarried Woman, for which she was nominated for a Golden Globe Award for Best Supporting Actress. She has also appeared in the"
"""Sami Gayle: Weston-raised and now starring in ","2nd season of 'Blue Bloods'"" by David Lyons
Sami Gayle: Weston-raised and now starring in 2nd season of 'Blue Bloods'
Sami Gayle, 16, is a Weston-raised actress who is starring in the second season of the CBS drama ""Blue Bloods."" She plays the daughter of Tom Selleck's character, a New York City police commissioner.
Sami"
Carroll Baker is a retired American actress ," who has appeared in over 50 films and television productions. She is best known for her roles in the films Baby Doll (1956), The Big Country (1958), How the West Was Won (1962), and Harlow (1965). She was nominated for the Academy Award for Best Actress for Baby Doll. She has also appeared in several television series, including The Young and the Restless, The Love Boat, and Murder,"
"Her debut album, Janet Jackson, was released ","1982. It peaked at number 6 on the Billboard 200 and was certified platinum by the RIAA. The album spawned three singles: ""Young Love"", ""Come Give Your Love to Me"" and ""Say You Do"". The album was certified platinum by the RIAA."
